2000 cc Sızdırmaz Kap ;1962-138176-99;Şube;Sayım Dönemi;Sistem Stok;Sayılan Stok;Fark Miktarı;Birim Maliyet (TL);Toplam Fark (TL);Onay Durumu
Fanta 330 ml Teneke;5000112664560;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fırın Makarna ( Arbella) ;8697430889132;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fine Food Bezelye Donuk;8692259002120;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fine Food Dondurulmuş Garnitür;8692259002939;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fine Food Donuk Ispanak;0169225000087;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fine Food Donuk Mısır;8692259002908;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fiyonk Makarna ( Filiz) ;8690579300094;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Frita yağ ;8680876470736;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Frozen Pipet Jelatinli Kolide 50 * 100 Pk;8699336693912;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Frozen Pipet Kolide 50 * 10 Pk ( Soyplas) ;8681925020117;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fuse Tea Limon 330 ml Teneke;5000112664706;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Fuse Tea Şeftali 330 ml;5000112664713;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Galeta Unu ;8696495012097;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Hamburger Kabı Köpük 250 li;8680807317093;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Hamur Kabartma Tozu;8690629300456;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Hanımeli Güllaç Paket;8681116296314;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Harun Taze Yarım Yağlı Peynir;8683270530570;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
HİNDİ füme eti Polonez 150 g;18693407002785;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Hindistan Cevizi Toz;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Islak Mendil 1000 li koli;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
İçten Çekmeli Havlu 6 lı Paket ( Maximum;8697623320855;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
İnce Bulgur;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
İnce Uzun Makarna Dökme ( Arbella) ;8697430889095;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
İzmir Şaşal Su 500 ml;8684341018072;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Jumbo DÖKK Çöp Torbası 80 * 110 cm;8697405390489;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kağıt Masa Örtüsü 24 Metre 100 * 150  16 Yaprak;8697424850223;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kaltun Bardak Su 72 Ad 200 cc;8699025550199;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kapaklı Çorba Kasesi Koli 500 adet;18699303302479;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kapari Metro;8696236620444;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Karabiber ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Karadut Reçeli (Seğmen) ;8690551011307;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Karışık Sebze Turşusu (Berrak) ;8696801000107;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kaya Tuzu;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kaynaksız Yoğurt Sütaş 150g Kase;8681324000666;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kekik ;8683598400395;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kılıç Kürdan 1000 li;8680690350122;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kırmızı Biberli Yeşil Zeytin (Cem) ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kırmızı Mercimek ;8697903280596;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kimyon ;8697432624267;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kiraz Şekerleme Linora 525 gr;https://www.cakin.net;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Klorak Koli 4 x 4,5 KG ;8697464093949;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Köri Toz;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Közlenmiş patlıcan 2450 g (Berrak) ;https://www.berraktursulari.com.tr/2030;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Közlenmiş Patlıcan 2700 g Konserve ( Öncü) ;8693891827003;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kuru Fasulye ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Kuru Maya 100 GR paket ;8690770322215;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Küçük Limon Sos Kalıbı Kolide 2700 ad;OZGM07027 003;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Lays Klasik Cips;8690624102277;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Limon Sosu 1lt (Çiçek) ;8683574140192;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Limon Tuzu;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Mavi Haşhaş;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Mirano Kase Metro 260 cc;8696236723008;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Mop Sapı Eko 120 Cm;8697445549915;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Nane;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Nar Ekşili Sos 1 LT ( Çiçek) ;8683574140253;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Natural Sızma Zeytinyağı Verde ;8693241035034;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Nestle 1927 Küvertür Sütlü çikolata;8690632764771;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Nestle Kakao 1 Kg;8690632050591;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Nohut;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Osmancık Pirinç;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Oval Ortak Kapak Salata ;8680002601713;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Panko;9555555303089;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Patates Püresi Toz Knorr;8690637822193;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Pedallı ÇÖP Kovası 70 lt;8682704601480;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Pınar Büfe Dana Burger ;086905271011554932549301;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Pınar Dana Büfe Sosis ;8690527030615;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Pilavlık Bulgur (Arbel) ;8696761901513;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Prens Yüzey Temizleyici Çiçek 30 Kg;8691959413038;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Pudra Şekeri NAR 5 Kg;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Pul Biber ( öncü) ;8693891700504;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Rulo Çöp Poşeti 75 * 90 cm ;8690245201403;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Salata Kasesi Siyah Plastik ;8680000000068;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
SF PATATES KLASİK 2.5KG ;1003931592;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Sıvı Sabun 3 LT Dalan;8690529010103;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Sıvı Sabun 5 LT Prens;8691959419214;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Siyah Nitril Eldiven L Large 100 lü ;8681447720908;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Siyah Nitril Eldiven L Large 100 lü paket Haspet;8680361799311;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Siyah Nitril Eldiven L Large Boy 100 lü (CoreMed) ;8684523770026;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Siyah Nitril Eldiven L Large Boy 100 lü (CoreMed) ;8684523770026;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Siyah Nitril Eldiven M Medium 100 Lü paket;8681447709675;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Siyah Zeytin ( Cem) ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Soğan Toz;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Soğan Toz;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Soya Sosu Amoy ;0078024002102;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Soya Sosu Amoy 500 ml;0078024009231;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Sprite 330 ml Teneke;5000112664676;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Streç Film Sera 300 m;8699413468327;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Superfresh KLASİK Patates 2.5 kg;8690612416843;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Sütaş Dilimli Tost Peyniri 1500 g ;8690767675614;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Sütaş Kaymaksız Kova Yoğurt Yarım Yağlı;8690767670176;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Sütaş Süt 1 Lt;8690767670053;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Süzme Çiçek Balı 20 g;08690710435876;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Süzme Çiçek Balı 20 g ( Seğmen) ;8690551420031;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Süzme Çiçek Balı Haskaymak 5 kg;8697695020721;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Şanti Torbası ( Korinita) ;8681469055484;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Şekerli Vanilin ;8690629436742;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tarçın ;8683598400807;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tart Tabanı ( Cookie Maker) ;2112345678917;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tatlı Biber Salçası 4300 g ( Öncü) ;8693891195201;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tatlı Toz biber (aktar baharat) ;8696495003262;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tatlı Toz biber (Doymix) ;8696495006485;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tatlı Toz Biberi ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tavuk Bulyon 5 KG Knorr;8690637884825;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tel Şehriye ( Arbella) ;8697430889125;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Teremyağ ;8691375609381;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tik eşli Krema 1 lt;8690642105106;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Toz Şeker ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tuvalet Kağıdı 16 Rulo (Blume) ;8695077072603;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tuvalet Kağıdı 24 lü Belinno;8682376710541;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tuz İyotlu Sofra Tuzu;0687329710188;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Tuzlu tereyağı Keskinkaya;8680426612067;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Ürün Adı;Barkod;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Üzüm Pekmezi Koska;8690710030095;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Üzüm Sirkesi 2 lt ( Derecik) ;8680628561057;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
VENTURA CLOR Ağartıcı 30 KG;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
VENTURA Extra Elde Bulaşık Yıkama Deterjanı 20 KG ;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
VENTURA MATİK Sanayi Tipi Bulaşık Makinesi Deterjanı 25 kg;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
VENTURA RİNSE Bulaşık Makinesi Parlatıcı 20 L;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Yağda Kuru Domates;8680331340253;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Yağlı Pişirme Kağıdı Point 50 m;8699303302755;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Yer sil 55 cm (Rodi Plastik) ;8697410055298;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Z Katlama Dispenser Havlu Selpak Kolide 12 Adet;08690530062290;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Zencefil Toz;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
Zerdeçal Toz;Yok;Çınarlı Şube;mart;0;0;0;0;0;Bekliyor
